Framework:    ortho_ZnMOF74
Guest:        CH4
Temperature:  313                K
FW_Density:   1195.887342730500  kg/m^3
Metal_atoms:  288                per_supercell
pressure_Pa   molec/uc           +/-            error         mol/kg        +/-  error
10000         0.8712832809       +/-            0.0448693659  0.0745245155  +/-  0.0038378652
25000         2.1687390258       +/-            0.1231407325  0.1855013503  +/-  0.0105327436
50000         4.3324641291       +/-            0.2701402599  0.3705738388  +/-  0.0231062301
100000        8.2124225668       +/-            0.3910097697  0.7024429667  +/-  0.0334447065
150000        12.4517253150      +/-            0.2260794993  1.0650483216  +/-  0.0193375283
200000        16.0449723831      +/-            0.1352194513  1.3723938229  +/-  0.0115658871
250000        19.5112637884      +/-            0.6725211521  1.6688802736  +/-  0.0575235565
300000        22.8005495563      +/-            0.4852594152  1.9502266893  +/-  0.0415062742
350000        26.0457297201      +/-            0.6504783317  2.2278005675  +/-  0.0556381415
400000        29.0745543212      +/-            0.5739685880  2.4868686465  +/-  0.0490939421
450000        31.6436234092      +/-            0.4606945843  2.7066119071  +/-  0.0394051412
500000        34.6891370418      +/-            0.5415074330  2.9671074690  +/-  0.0463174033
1000000       51.7120921038      +/-            0.5483501254  4.4231522547  +/-  0.0469026875
